1,2016,Logan,12,7625.55
1,2016,Anakin,59,16020.17
1,2016,Victor Von Doom,77,9859.17
1,2016,Kal-El,33,10155.42
1,2016,Barry Allen,51,21591.12
1,2016,Wanda Maximoff,100,11574
1,2016,Rachel Roth,40,11242.32
1,2016,Padme Amidala,88,12943.36
2,2016,Logan,36,3056.85
2,2016,Anakin,50,12624
2,2016,Victor Von Doom,75,22011.77
2,2016,Kal-El,71,12652.58
2,2016,Barry Allen,78,21216.52
2,2016,Wanda Maximoff,56,11934.6
2,2016,Rachel Roth,49,16645.94
2,2016,Padme Amidala,45,15306.11
3,2016,Logan,42,5119.18
3,2016,Anakin,51,15883.8
3,2016,Victor Von Doom,32,10246.36
3,2016,Kal-El,25,21099.27
3,2016,Barry Allen,44,14038.16
3,2016,Wanda Maximoff,38,12475.54
3,2016,Rachel Roth,72,14057.8
3,2016,Padme Amidala,89,17044.61
4,2016,Logan,10,4008.03
4,2016,Anakin,38,6436.27
4,2016,Victor Von Doom,24,8064.94
4,2016,Kal-El,53,14398.52
4,2016,Barry Allen,93,10816.8
4,2016,Wanda Maximoff,86,18868.41
4,2016,Rachel Roth,68,14416.23
4,2016,Padme Amidala,92,12347.91
5,2016,Logan,15,4185.45
5,2016,Anakin,45,21220.54
5,2016,Victor Von Doom,36,20414.46
5,2016,Kal-El,97,14484.33
5,2016,Barry Allen,84,7302.98
5,2016,Wanda Maximoff,52,22198.76
5,2016,Rachel Roth,65,20710.43
5,2016,Padme Amidala,76,7682.73
6,2016,Logan,26,4255.51
6,2016,Anakin,72,21707.23
6,2016,Victor Von Doom,68,8922.56
6,2016,Kal-El,81,13535.83
6,2016,Barry Allen,93,12927.79
6,2016,Wanda Maximoff,28,10496.79
6,2016,Rachel Roth,93,13361.78
6,2016,Padme Amidala,25,16429.74
7,2016,Logan,36,7996.45
7,2016,Anakin,67,9788.2
7,2016,Victor Von Doom,62,11003.67
7,2016,Kal-El,20,17126.62
7,2016,Barry Allen,53,15731.15
7,2016,Wanda Maximoff,68,11359.28
7,2016,Rachel Roth,42,6696.15
7,2016,Padme Amidala,80,5218.79
8,2016,Logan,28,3974.96
8,2016,Anakin,45,5681.26
8,2016,Victor Von Doom,90,18208.36
8,2016,Kal-El,100,5062.45
8,2016,Barry Allen,84,21601.35
8,2016,Wanda Maximoff,24,6002.15
8,2016,Rachel Roth,52,18688.74
8,2016,Padme Amidala,52,20899.09
9,2016,Logan,25,5546.8
9,2016,Anakin,35,15541.76
9,2016,Victor Von Doom,99,13501.62
9,2016,Kal-El,23,20530.29
9,2016,Barry Allen,96,19284.45
9,2016,Wanda Maximoff,98,9201.9
9,2016,Rachel Roth,90,11181.03
9,2016,Padme Amidala,84,13333.01
10,2016,Logan,30,9690.01
10,2016,Anakin,26,11731.28
10,2016,Victor Von Doom,91,13479.36
10,2016,Kal-El,44,5329.02
10,2016,Barry Allen,74,11709.69
10,2016,Wanda Maximoff,30,11224.93
10,2016,Rachel Roth,53,19279.15
10,2016,Padme Amidala,53,12648.64
11,2016,Logan,45,9928.38
11,2016,Anakin,57,19349.27
11,2016,Victor Von Doom,44,18923.56
11,2016,Kal-El,92,6299.64
11,2016,Barry Allen,39,10557.61
11,2016,Wanda Maximoff,60,14870.55
11,2016,Rachel Roth,28,17427.87
11,2016,Padme Amidala,74,11507.15
12,2016,Logan,47,8095.19
12,2016,Anakin,62,20795.13
12,2016,Victor Von Doom,44,12451.16
12,2016,Kal-El,28,7217.6
12,2016,Barry Allen,66,12383.96
12,2016,Wanda Maximoff,61,17560.78
12,2016,Rachel Roth,28,14937.37
12,2016,Padme Amidala,83,20988.01
1,2017,Logan,22,3223.08
1,2017,Anakin,49,18787.76
1,2017,Victor Von Doom,90,7980.58
1,2017,Kal-El,60,15608.3
1,2017,Barry Allen,35,16423.33
1,2017,Wanda Maximoff,67,13084.75
1,2017,Rachel Roth,30,20171.3
1,2017,Padme Amidala,65,20751.35
2,2017,Logan,43,4854.27
2,2017,Anakin,46,8269.47
2,2017,Victor Von Doom,82,11422.78
2,2017,Kal-El,45,11150.37
2,2017,Barry Allen,47,7287.61
2,2017,Wanda Maximoff,56,16370.11
2,2017,Rachel Roth,57,21831.1
2,2017,Padme Amidala,59,8496.83
3,2017,Logan,28,6537.82
3,2017,Anakin,35,10107.42
3,2017,Victor Von Doom,41,19932.67
3,2017,Kal-El,51,10740.96
